L1_code;L1;L2_code;L2;L3_code;L3;L4_code;L4;L1_Desc;L2_Desc;L3_Desc;L4_Desc;BPO;BPE;SME;Frequency;Time unit-of-measure;Start;End;R;A;S;C;I;Supplier;Input;Output;Customer;Type;Tool;KPI;Goal;Documentation;Tool_function;Tool_navigation;Tool_desc;Tool_link;TestScript_link
SOP;Sales & Operations Planning;SOP.1;Demand Management;SOP.1.1;Statistical Forecasting;SOP.1.1.1;Generate Baseline Statistical Forecast;End-to-end process of aligning supply and demand to support business objectives through cross-functional planning cycles.;Processes to capture, analyze and shape customer demand signals to produce an unconstrained demand plan.;Use of statistical models to generate a baseline demand forecast from historical data.;Run statistical forecasting algorithms on historical sales data to produce an item-level baseline forecast for the planning horizon.;VP Demand Planning;Demand Planning Manager;Demand Planner;Monthly;Hours;Week 1, Day 1;Week 1, Day 2;Demand Planner;Demand Planning Manager;IT / Systems;Sales Analytics;Supply Planning, Finance;ERP / Data Warehouse;2-3 years historical sales data, seasonality indices, promotional calendar;Item-level baseline statistical forecast (18-month horizon);Demand Planner (review step);System-automated;SAP IBP;Forecast Accuracy (MAPE), Forecast Bias;MAPE ≤ 15% at SKU/month level;Demand Planning SOP v3.2;Statistical forecasting engine;IBP > Demand > Statistical Forecast > Run Forecast Job;SAP IBP uses algorithms (Holt-Winters, ARIMA, MLR) to auto-select best fit model per item.;https://help.sap.com/ibp;https://sharepoint/testscripts/SOP.1.1.1
SOP;Sales & Operations Planning;SOP.1;Demand Management;SOP.1.1;Statistical Forecasting;SOP.1.1.2;Review and Override Statistical Forecast;;;;Demand planners review system-generated forecast, apply market intelligence, and override where justified. All overrides must be documented with rationale.;VP Demand Planning;Demand Planning Manager;Demand Planner;Monthly;Hours;Week 1, Day 2;Week 1, Day 3;Demand Planner;Demand Planning Manager;Sales;Marketing;Supply Planning;Statistical Forecast (SOP.1.1.1), Sales input;Baseline forecast, market intelligence, account team inputs, promotional plans;Adjusted consensus demand forecast with override log;Demand Review Meeting;Manual / System-assisted;SAP IBP;Override Rate, Override Value Add (OVA);OVA > 0 — overrides improve accuracy vs baseline;Forecast Override Policy v1.4;Forecast override and annotation;IBP > Demand > Planner Workbench > Override & Notes;"Planners adjust quantities in the planner workbench; reason codes and comments are mandatory.";https://help.sap.com/ibp;https://sharepoint/testscripts/SOP.1.1.2
SOP;Sales & Operations Planning;SOP.1;Demand Management;SOP.1.2;Demand Review;SOP.1.2.1;Conduct Demand Review Meeting;;;Cross-functional review of the demand forecast to produce an agreed, unconstrained demand plan.;Facilitate the monthly Demand Review meeting with Sales, Marketing, and Planning to challenge assumptions, align on the demand plan, and escalate key risks.;VP Demand Planning;Demand Planning Manager;Demand Planner;Monthly;Hours;Week 1, Day 4;Week 1, Day 4;Demand Planning Manager;VP Demand Planning;Demand Planner;Sales, Marketing, Finance;Supply Planning, Executive Team;Demand Planners, Sales, Marketing;Adjusted forecast, market intelligence deck, YTD actuals vs plan, risk & opportunity register;Approved unconstrained demand plan, escalation items for S&OP, meeting minutes;Supply Planning, S&OP process;Meeting / Decision;MS Teams, PowerPoint, SAP IBP;Forecast version lock rate, meeting attendance ≥ 90%;Agreed plan locked by Day 4 of planning cycle;Demand Review Agenda Template v2.1;Meeting facilitation, forecast visibility;"IBP > Demand > Review Dashboard; SharePoint > S&OP > Demand Review";Standard agenda and pre-read distributed 24h in advance. Decisions logged in meeting minutes template.;https://sharepoint/sop/demand-review;https://sharepoint/testscripts/SOP.1.2.1
SOP;Sales & Operations Planning;SOP.2;Supply Planning;SOP.2.1;Capacity Planning;SOP.2.1.1;Run Rough-Cut Capacity Plan (RCCP);;Processes to translate the unconstrained demand plan into a feasible supply plan considering capacity, inventory, and procurement constraints.;Assess whether manufacturing and supply capacity is sufficient to meet the demand plan.;Execute Rough-Cut Capacity Planning to identify capacity gaps or surpluses versus the agreed demand plan across all critical resources.;VP Supply Chain;Supply Planning Manager;Supply Planner;Monthly;Hours;Week 2, Day 1;Week 2, Day 2;Supply Planner;Supply Planning Manager;Manufacturing;Demand Planning, Procurement;Finance, Logistics;Demand Plan (SOP.1.2.1), Capacity master data;Approved demand plan, bill of resources, available capacity calendar, open production orders;RCCP output: capacity load profile, gap analysis, recommended actions;Supply Review Meeting;System-automated;SAP IBP / APO;Capacity utilization %, number of unconstrained gaps;All critical resource gaps identified and actioned before Supply Review;RCCP Procedure SOP v2.0;Capacity planning and load analysis;IBP > Supply > Capacity Planning > Run RCCP;"System maps demand plan to resources using bill of resources; outputs load vs capacity chart per work center.";https://help.sap.com/ibp;https://sharepoint/testscripts/SOP.2.1.1
SOP;Sales & Operations Planning;SOP.2;Supply Planning;SOP.2.1;Capacity Planning;SOP.2.1.2;Develop Capacity Scenarios and Recommendations;;;;Analyze RCCP output to develop feasible supply scenarios (e.g., overtime, outsourcing, demand shaping) and present recommendations to resolve identified capacity gaps.;VP Supply Chain;Supply Planning Manager;Supply Planner;Monthly;Hours;Week 2, Day 2;Week 2, Day 3;Supply Planner;Supply Planning Manager;Manufacturing, Procurement;Finance, Demand Planning;VP Supply Chain;RCCP output (SOP.2.1.1), Manufacturing, Procurement;RCCP gap analysis, cost of alternatives, lead times, inventory levels;Scenario analysis with P&L impact, recommended supply response options;Supply Review Meeting;Analytical / Manual;Excel, PowerPoint, SAP IBP;Time to develop scenarios (target ≤ 1 business day), scenario coverage;At least 2 feasible options presented per significant gap;Capacity Scenario Template v1.3;Scenario modeling;"IBP > Supply > Scenario Manager; SharePoint > S&OP > Capacity Templates";"Planners model what-if scenarios in IBP Scenario Manager; financial impact modeled in Excel template.";https://sharepoint/sop/capacity;https://sharepoint/testscripts/SOP.2.1.2
SOP;Sales & Operations Planning;SOP.2;Supply Planning;SOP.2.2;Supply Review;SOP.2.2.1;Conduct Supply Review Meeting;;;Cross-functional meeting to align on the constrained supply plan and resolve capacity issues before the pre-S&OP.;Facilitate the monthly Supply Review meeting with Manufacturing, Procurement, and Supply Planning to agree on the constrained supply plan and escalate unresolved gaps.;VP Supply Chain;Supply Planning Manager;Supply Planner;Monthly;Hours;Week 2, Day 4;Week 2, Day 4;Supply Planning Manager;VP Supply Chain;Supply Planner;Manufacturing, Procurement, Finance;Demand Planning, Executive;Supply Planners, Manufacturing, Procurement;RCCP output, capacity scenarios, inventory plan, procurement constraints;Agreed constrained supply plan, escalation items for pre-S&OP, meeting minutes;Pre-S&OP, Finance;Meeting / Decision;MS Teams, PowerPoint, SAP IBP;Supply plan lock rate, gap resolution rate before pre-S&OP;"≥ 85% of gaps resolved at Supply Review; remainder escalated with recommended options";Supply Review Agenda Template v2.0;Meeting facilitation, supply plan visibility;"IBP > Supply > Review Dashboard; SharePoint > S&OP > Supply Review";Standard agenda covers RCCP, inventory, procurement risks, and constrained plan vs demand.;https://sharepoint/sop/supply-review;https://sharepoint/testscripts/SOP.2.2.1
SOP;Sales & Operations Planning;SOP.3;Financial Planning & Integration;SOP.3.1;Financial Integration;SOP.3.1.1;Translate Supply Plan to Financial View;;Processes to translate operational plans into financial terms and ensure alignment with the annual operating plan (AOP) and rolling forecast.;Convert volume-based demand and supply plans into revenue, COGS, and margin projections.;Finance translates the agreed volume plan into a P&L projection (revenue, standard COGS, gross margin) and compares to AOP and latest estimate for gap identification.;CFO / VP Finance;FP&A Manager;FP&A Analyst;Monthly;Hours;Week 3, Day 1;Week 3, Day 2;FP&A Analyst;FP&A Manager;Demand Planning, Supply Planning;Commercial Finance;Executive Team;Constrained supply plan, standard cost file, pricing master;Agreed volume plan (demand & supply), standard cost rates, transfer prices, revenue pricing;Financial S&OP plan (P&L view): revenue, COGS, gross margin vs AOP and LE;Pre-S&OP Meeting, Executive S&OP;Analytical / System;Anaplan / Excel;Gap to AOP (revenue & margin), plan conversion time;Financial plan completed within 1 business day of supply plan lock;Financial S&OP Integration Procedure v1.1;Financial modelling and scenario planning;Anaplan > S&OP Module > Financial Translation Worksheet;"Anaplan pulls volume plan automatically; analyst validates pricing and cost assumptions before publishing.";https://anaplan.com/help;https://sharepoint/testscripts/SOP.3.1.1
SOP;Sales & Operations Planning;SOP.4;Executive S&OP;SOP.4.1;Pre-S&OP;SOP.4.1.1;Conduct Pre-S&OP Meeting;;Senior leadership review and decision-making process to resolve cross-functional trade-offs and set business direction.;Middle management preparation meeting to consolidate inputs, resolve solvable issues, and define agenda for Executive S&OP.;Cross-functional managers review the integrated demand, supply, and financial plans, resolve issues within their authority, and prepare the Executive S&OP package.;VP Supply Chain / COO;S&OP Process Manager;Planning Managers;Monthly;Hours;Week 3, Day 3;Week 3, Day 3;S&OP Process Manager;COO;All Planning Managers;Finance, HR;Executive Team;Demand Review, Supply Review, Financial Integration outputs;Demand plan, constrained supply plan, financial P&L view, open risks & opportunities, prior month KPI scorecard;Pre-read package for Executive S&OP, resolved issues log, escalation items with recommended decisions;Executive S&OP Meeting;Meeting / Decision;MS Teams, PowerPoint, SharePoint;% issues resolved at pre-S&OP (target ≥ 70%), pre-read published ≥ 48h before Exec meeting;Executive S&OP focused on strategic decisions, not operational fire-fighting;Pre-S&OP Agenda & Minutes Template v3.0;Meeting management, document collaboration;SharePoint > S&OP > Pre-S&OP > Current Month;"Standard pre-read template published to SharePoint; action log maintained in Teams channel.";https://sharepoint/sop/pre-sop;https://sharepoint/testscripts/SOP.4.1.1
SOP;Sales & Operations Planning;SOP.4;Executive S&OP;SOP.4.2;Executive S&OP Meeting;SOP.4.2.1;Facilitate Executive S&OP Meeting;;;Monthly senior leadership forum to make cross-functional decisions, approve the business plan, and set priorities.;Facilitate the Executive S&OP meeting where senior leaders review KPIs, make trade-off decisions (volume vs margin, service vs cost), and approve the rolling business plan.;CEO / COO;COO;S&OP Process Manager;Monthly;Hours;Week 4, Day 1;Week 4, Day 1;S&OP Process Manager;CEO;All VP/C-Suite;Board (as needed);All Departments;Pre-S&OP output, Executive pre-read package;Integrated business plan, P&L gap analysis, escalated decisions, KPI scorecard, strategic risks;Approved rolling plan, executive decisions log, strategic directives, published meeting minutes;All functions (to execute approved plan);Meeting / Decision;PowerPoint, MS Teams / Board Portal;Decision rate (% of items on agenda resolved), plan approval cycle time;"100% of agenda items result in a decision or owner-assigned action; minutes published within 24h";Executive S&OP Charter v1.0, Meeting Minutes Template;Executive decision facilitation;SharePoint > S&OP > Executive S&OP > Current Month;"COO chairs; S&OP Manager facilitates. 60-min structured agenda. Decisions documented live.";https://sharepoint/sop/executive-sop;https://sharepoint/testscripts/SOP.4.2.1
SOP;Sales & Operations Planning;SOP.4;Executive S&OP;SOP.4.2;Executive S&OP Meeting;SOP.4.2.2;Publish and Communicate Approved Plan;;;;After Executive S&OP, distribute approved plan, decisions, and action items to all relevant stakeholders. Update planning systems with approved volumes.;CEO / COO;S&OP Process Manager;Planning Managers;Monthly;Hours;Week 4, Day 1;Week 4, Day 2;S&OP Process Manager;COO;All Planning Managers;IT / Systems;All Departments;Executive S&OP decisions (SOP.4.2.1);Approved plan decisions, action log, meeting minutes;Published meeting minutes, system-updated approved plan, action log distributed to owners;All functional teams;Administrative / System;SharePoint, SAP IBP, MS Teams / Email;Time to publish minutes (target ≤ 24h), action log completion rate from prior month;"Approved plan uploaded to IBP within 1 business day; minutes distributed same day";S&OP Communication Plan v1.2;Plan publication and stakeholder communication;"IBP > Supply > Approve Plan; SharePoint > S&OP > Minutes Archive";"S&OP Manager activates approved version in IBP; minutes and action log emailed and posted to Teams.";https://sharepoint/sop/archive;https://sharepoint/testscripts/SOP.4.2.2
